x=-9.96094, y=0.0390625, f=1
x=-9.96094, y=0.117188, f=1
x=-9.88281, y=0.0390625, f=1
x=-9.88281, y=0.117188, f=1
x=-9.96094, y=0.195312, f=1
x=-9.96094, y=0.273438, f=1
x=-9.88281, y=0.195312, f=1
x=-9.88281, y=0.273438, f=1
x=-9.80469, y=0.0390625, f=1
x=-9.80469, y=0.117188, f=1
x=-9.72656, y=0.0390625, f=1
x=-9.72656, y=0.117188, f=1
x=-9.80469, y=0.195312, f=1
x=-9.80469, y=0.273438, f=1
x=-9.72656, y=0.195312, f=1
x=-9.72656, y=0.273438, f=1
x=-9.96094, y=0.351562, f=1
x=-9.96094, y=0.429688, f=1
x=-9.88281, y=0.351562, f=1
x=-9.88281, y=0.429688, f=1
x=-9.96094, y=0.507812, f=1
x=-9.96094, y=0.585938, f=1
x=-9.88281, y=0.507812, f=1
x=-9.88281, y=0.585938, f=1
x=-9.80469, y=0.351562, f=1
x=-9.80469, y=0.429688, f=1
x=-9.72656, y=0.351562, f=1
x=-9.72656, y=0.429688, f=1
x=-9.80469, y=0.507812, f=1
x=-9.80469, y=0.585938, f=1
x=-9.72656, y=0.507812, f=1
x=-9.72656, y=0.585938, f=1
x=-9.64844, y=0.0390625, f=1
x=-9.64844, y=0.117188, f=1
x=-9.57031, y=0.0390625, f=1
x=-9.57031, y=0.117188, f=1
x=-9.64844, y=0.195312, f=1
x=-9.64844, y=0.273438, f=1
x=-9.57031, y=0.195312, f=1
x=-9.57031, y=0.273438, f=1
x=-9.49219, y=0.0390625, f=1
x=-9.49219, y=0.117188, f=1
x=-9.41406, y=0.0390625, f=1
x=-9.41406, y=0.117188, f=1
x=-9.49219, y=0.195312, f=1
x=-9.49219, y=0.273438, f=1
x=-9.41406, y=0.195312, f=1
x=-9.41406, y=0.273438, f=1
x=-9.64844, y=0.351562, f=1
x=-9.64844, y=0.429688, f=1
x=-9.57031, y=0.351562, f=1
x=-9.57031, y=0.429688, f=1
x=-9.64844, y=0.507812, f=1
x=-9.64844, y=0.585938, f=1
x=-9.57031, y=0.507812, f=1
x=-9.57031, y=0.585938, f=1
x=-9.49219, y=0.351562, f=1
x=-9.49219, y=0.429688, f=1
x=-9.41406, y=0.351562, f=1
x=-9.41406, y=0.429688, f=1
x=-9.49219, y=0.507812, f=1
x=-9.49219, y=0.585938, f=1
