x=0.507812, y=2.07031, f=1
x=0.507812, y=2.14844, f=1
x=0.585938, y=2.07031, f=1
x=0.585938, y=2.14844, f=1
x=0.351562, y=2.22656, f=1
x=0.351562, y=2.30469, f=1
x=0.429688, y=2.22656, f=1
x=0.429688, y=2.30469, f=1
x=0.351562, y=2.38281, f=1
x=0.351562, y=2.46094, f=1
x=0.429688, y=2.38281, f=1
x=0.429688, y=2.46094, f=1
x=0.507812, y=2.22656, f=1
x=0.507812, y=2.30469, f=1
x=0.585938, y=2.22656, f=1
x=0.585938, y=2.30469, f=1
x=0.507812, y=2.38281, f=1
x=0.507812, y=2.46094, f=1
x=0.585938, y=2.38281, f=1
x=0.585938, y=2.46094, f=1
x=0.664062, y=1.28906, f=1
x=0.664062, y=1.36719, f=1
x=0.742188, y=1.28906, f=1
x=0.742188, y=1.36719, f=1
x=0.664062, y=1.44531, f=1
x=0.664062, y=1.52344, f=1
x=0.742188, y=1.44531, f=1
x=0.742188, y=1.52344, f=1
x=0.820312, y=1.28906, f=1
x=0.820312, y=1.36719, f=1
x=0.898438, y=1.28906, f=1
x=0.898438, y=1.36719, f=1
x=0.820312, y=1.44531, f=1
x=0.820312, y=1.52344, f=1
x=0.898438, y=1.44531, f=1
x=0.898438, y=1.52344, f=1
x=0.664062, y=1.60156, f=1
x=0.664062, y=1.67969, f=1
x=0.742188, y=1.60156, f=1
x=0.742188, y=1.67969, f=1
x=0.664062, y=1.75781, f=1
x=0.664062, y=1.83594, f=1
x=0.742188, y=1.75781, f=1
x=0.742188, y=1.83594, f=1
x=0.820312, y=1.60156, f=1
x=0.820312, y=1.67969, f=1
x=0.898438, y=1.60156, f=1
x=0.898438, y=1.67969, f=1
x=0.820312, y=1.75781, f=1
x=0.820312, y=1.83594, f=1
x=0.898438, y=1.75781, f=1
x=0.898438, y=1.83594, f=1
x=0.976562, y=1.28906, f=1
x=0.976562, y=1.36719, f=1
x=1.05469, y=1.28906, f=1
x=1.05469, y=1.36719, f=1
x=0.976562, y=1.44531, f=1
x=0.976562, y=1.52344, f=1
x=1.05469, y=1.44531, f=1
x=1.05469, y=1.52344, f=1
x=1.13281, y=1.28906, f=1
x=1.13281, y=1.36719, f=1
x=1.21094, y=1.28906, f=1
x=1.21094, y=1.36719, f=1
x=1.13281, y=1.44531, f=1
x=1.13281, y=1.52344, f=1
x=1.21094, y=1.44531, f=1
x=1.21094, y=1.52344, f=1
